metric,split,label,count,mean,median,std,min,max
score,test_id,normal,197044,0.750964,0.137255,3.147998,-6.528065,130.343137
score,test_ood_cpu,anomaly,190902,2.666447,2.175654,4.185797,-6.646791,144.735294
score,test_ood_disk,anomaly,123783,20.631027,3.039216,45.683340,-6.527631,205.493464
score,test_ood_mem,anomaly,217461,3.829823,3.050654,6.957901,-6.628140,215.859477
score,test_ood_net,anomaly,120006,4.884020,3.679739,5.766699,-6.226052,173.388889
score,valid_id,normal,197476,0.907921,0.191993,4.169043,-6.528553,215.022876
score,valid_ood_cpu,anomaly,186473,3.518338,2.952614,5.292049,-6.624566,218.003268
score,valid_ood_disk,anomaly,123240,20.692459,2.857026,45.618019,-6.528065,221.624183
score,valid_ood_mem,anomaly,217032,3.540116,2.777778,6.391330,-6.656454,171.591503
score,valid_ood_net,anomaly,120077,4.695535,3.494281,5.796452,-6.373264,221.075163
score_event,test_id,normal,197044,0.166692,0.132812,0.136765,0.005127,8.125000
score_event,test_ood_cpu,anomaly,190902,0.202024,0.152344,0.203884,0.005035,9.000000
score_event,test_ood_disk,anomaly,123783,1.383342,0.263672,2.875981,0.004944,13.687500
score_event,test_ood_mem,anomaly,217461,0.232352,0.161133,0.385757,0.005066,13.000000
score_event,test_ood_net,anomaly,120006,0.329303,0.251953,0.301374,0.005280,10.312500
score_event,valid_id,normal,197476,0.175897,0.135742,0.211645,0.005035,13.187500
score_event,valid_ood_cpu,anomaly,186473,0.231836,0.177734,0.269384,0.005157,13.187500
score_event,valid_ood_disk,anomaly,123240,1.388570,0.251953,2.875272,0.004913,13.062500
score_event,valid_ood_mem,anomaly,217032,0.224443,0.157227,0.352309,0.004974,10.937500
score_event,valid_ood_net,anomaly,120077,0.317023,0.240234,0.299971,0.005280,14.187500
score_latency,test_id,normal,197044,0.708032,0.667969,0.278600,0.001862,3.828125
score_latency,test_ood_cpu,anomaly,190902,0.902576,0.855469,0.359663,0.001808,4.406250
score_latency,test_ood_disk,anomaly,123783,0.927231,0.796875,0.534541,0.001862,5.500000
score_latency,test_ood_mem,anomaly,217461,1.001953,0.964844,0.390605,0.000000,6.718750
score_latency,test_ood_net,anomaly,120006,0.944890,0.902344,0.464352,0.003754,5.906250
score_latency,valid_id,normal,197476,0.710611,0.667969,0.283257,0.001732,6.375000
score_latency,valid_ood_cpu,anomaly,186473,0.959241,0.902344,0.403623,0.000000,7.656250
score_latency,valid_ood_disk,anomaly,123240,0.924799,0.796875,0.537297,0.000000,8.562500
score_latency,valid_ood_mem,anomaly,217032,0.977960,0.933594,0.385145,0.001915,5.000000
score_latency,valid_ood_net,anomaly,120077,0.944390,0.902344,0.466338,0.003586,5.906250
