metric,split,label,count,mean,median,std,min,max
score,test_id,normal,197044,0.676642,0.090653,3.005174,-6.483252,44.051051
score,test_ood_cpu,anomaly,190902,2.673978,2.328829,3.720328,-6.780241,76.390390
score,test_ood_disk,anomaly,123783,11.473792,2.619369,23.762915,-6.552881,98.408408
score,test_ood_mem,anomaly,217461,3.445918,2.950450,4.605369,-6.734176,93.510511
score,test_ood_net,anomaly,120006,4.039763,3.322823,4.613640,-6.222011,78.303303
score,valid_id,normal,197476,0.761767,0.128378,3.270484,-6.496114,91.090090
score,valid_ood_cpu,anomaly,186473,3.373968,2.986486,4.279441,-6.757730,97.363363
score,valid_ood_disk,anomaly,123240,11.575712,2.370495,24.285524,-6.501677,97.732733
score,valid_ood_mem,anomaly,217032,3.182562,2.618619,4.603548,-6.755384,96.276276
score,valid_ood_net,anomaly,120077,3.856840,3.143393,4.568418,-6.348864,74.502252
score_event,test_id,normal,197044,0.260947,0.228516,0.138243,0.072754,3.171875
score_event,test_ood_cpu,anomaly,190902,0.297156,0.244141,0.178979,0.073730,4.812500
score_event,test_ood_disk,anomaly,123783,0.871363,0.345703,1.358387,0.073730,5.968750
score_event,test_ood_mem,anomaly,217461,0.304658,0.238281,0.240386,0.078125,5.875000
score_event,test_ood_net,anomaly,120006,0.394936,0.332031,0.256013,0.072754,4.718750
score_event,valid_id,normal,197476,0.266065,0.232422,0.161061,0.072266,5.843750
score_event,valid_ood_cpu,anomaly,186473,0.323882,0.269531,0.210694,0.072754,5.875000
score_event,valid_ood_disk,anomaly,123240,0.874954,0.326172,1.394583,0.074219,6.062500
score_event,valid_ood_mem,anomaly,217032,0.302459,0.233398,0.242008,0.078125,5.750000
score_event,valid_ood_net,anomaly,120077,0.383038,0.320312,0.248569,0.072754,5.718750
score_latency,test_id,normal,197044,0.711519,0.671875,0.278508,0.001266,3.171875
score_latency,test_ood_cpu,anomaly,190902,0.921934,0.875000,0.363278,0.001244,4.156250
score_latency,test_ood_disk,anomaly,123783,1.042032,0.796875,0.772812,0.001305,5.125000
score_latency,test_ood_mem,anomaly,217461,1.015889,0.980469,0.385105,0.000000,4.718750
score_latency,test_ood_net,anomaly,120006,0.923722,0.894531,0.410469,0.003082,4.781250
score_latency,valid_id,normal,197476,0.713531,0.671875,0.280183,0.001274,6.062500
score_latency,valid_ood_cpu,anomaly,186473,0.968362,0.910156,0.403729,0.000000,4.781250
score_latency,valid_ood_disk,anomaly,123240,1.049377,0.800781,0.776051,0.000000,6.375000
score_latency,valid_ood_mem,anomaly,217032,0.983135,0.945312,0.369441,0.001335,4.593750
score_latency,valid_ood_net,anomaly,120077,0.921153,0.890625,0.411137,0.003021,4.656250
