split,label,count,mean,median,std,min,max
test_id,normal,197044,0.750964,0.137255,3.147998,-6.528065,130.343137
test_ood_cpu,anomaly,190902,2.666447,2.175654,4.185797,-6.646791,144.735294
test_ood_disk,anomaly,123783,20.631027,3.039216,45.683340,-6.527631,205.493464
test_ood_mem,anomaly,217461,3.829823,3.050654,6.957901,-6.628140,215.859477
test_ood_net,anomaly,120006,4.884020,3.679739,5.766699,-6.226052,173.388889
valid_id,normal,197476,0.907921,0.191993,4.169043,-6.528553,215.022876
valid_ood_cpu,anomaly,186473,3.518338,2.952614,5.292049,-6.624566,218.003268
valid_ood_disk,anomaly,123240,20.692459,2.857026,45.618019,-6.528065,221.624183
valid_ood_mem,anomaly,217032,3.540116,2.777778,6.391330,-6.656454,171.591503
valid_ood_net,anomaly,120077,4.695535,3.494281,5.796452,-6.373264,221.075163
