split,label,count,mean,median,std,min,max
test_id,normal,197044,0.676642,0.090653,3.005174,-6.483252,44.051051
test_ood_cpu,anomaly,190902,2.673978,2.328829,3.720328,-6.780241,76.390390
test_ood_disk,anomaly,123783,11.473792,2.619369,23.762915,-6.552881,98.408408
test_ood_mem,anomaly,217461,3.445918,2.950450,4.605369,-6.734176,93.510511
test_ood_net,anomaly,120006,4.039763,3.322823,4.613640,-6.222011,78.303303
valid_id,normal,197476,0.761767,0.128378,3.270484,-6.496114,91.090090
valid_ood_cpu,anomaly,186473,3.373968,2.986486,4.279441,-6.757730,97.363363
valid_ood_disk,anomaly,123240,11.575712,2.370495,24.285524,-6.501677,97.732733
valid_ood_mem,anomaly,217032,3.182562,2.618619,4.603548,-6.755384,96.276276
valid_ood_net,anomaly,120077,3.856840,3.143393,4.568418,-6.348864,74.502252
