condition,users,repeat,run_id,duration_s,think_min,think_max,frontend_host,status,started_utc,ended_utc
baseline,50,1,u050_r01,100,0.2,1.0,http://localhost:80,ok,2026-03-30T13:48:27Z,2026-03-30T13:50:11Z
lttng_only,50,1,u050_r01,100,0.2,1.0,http://localhost:80,ok,2026-03-30T13:50:31Z,2026-03-30T13:52:18Z
lmat_async,50,1,u050_r01,100,0.2,1.0,http://localhost:80,ok,2026-03-30T13:52:38Z,2026-03-30T14:12:37Z
baseline,50,2,u050_r02,100,0.2,1.0,http://localhost:80,ok,2026-03-30T14:12:57Z,2026-03-30T14:14:41Z
lttng_only,50,2,u050_r02,100,0.2,1.0,http://localhost:80,ok,2026-03-30T14:15:01Z,2026-03-30T14:16:47Z
lmat_async,50,2,u050_r02,100,0.2,1.0,http://localhost:80,ok,2026-03-30T14:17:07Z,2026-03-30T14:34:48Z
baseline,50,3,u050_r03,100,0.2,1.0,http://localhost:80,ok,2026-03-30T14:35:08Z,2026-03-30T14:36:53Z
lttng_only,50,3,u050_r03,100,0.2,1.0,http://localhost:80,ok,2026-03-30T14:37:13Z,2026-03-30T14:38:59Z
lmat_async,50,3,u050_r03,100,0.2,1.0,http://localhost:80,ok,2026-03-30T14:39:19Z,2026-03-30T14:56:39Z
baseline,200,1,u200_r01,100,0.2,1.0,http://localhost:80,ok,2026-03-30T14:56:59Z,2026-03-30T14:58:45Z
lttng_only,200,1,u200_r01,100,0.2,1.0,http://localhost:80,ok,2026-03-30T14:59:05Z,2026-03-30T15:00:54Z
lmat_async,200,1,u200_r01,100,0.2,1.0,http://localhost:80,ok,2026-03-30T15:01:14Z,2026-03-30T15:44:55Z
baseline,200,2,u200_r02,100,0.2,1.0,http://localhost:80,ok,2026-03-30T15:45:15Z,2026-03-30T15:47:03Z
lttng_only,200,2,u200_r02,100,0.2,1.0,http://localhost:80,ok,2026-03-30T15:47:23Z,2026-03-30T15:49:14Z
lmat_async,200,2,u200_r02,100,0.2,1.0,http://localhost:80,ok,2026-03-30T15:49:34Z,2026-03-30T16:35:18Z
baseline,200,3,u200_r03,100,0.2,1.0,http://localhost:80,ok,2026-03-30T16:35:38Z,2026-03-30T16:37:26Z
lttng_only,200,3,u200_r03,100,0.2,1.0,http://localhost:80,ok,2026-03-30T16:37:46Z,2026-03-30T16:39:38Z
lmat_async,200,3,u200_r03,100,0.2,1.0,http://localhost:80,ok,2026-03-30T16:39:58Z,2026-03-30T17:22:19Z
