The following modules were not unloaded:
  (Use "module --force purge" to unload all):

  1) gentoo/2023
============================================================
Job ID       : 388289
Node         : trig0032
Mode         : Adaptive Replay | Transformer | cats5 | w64 r0.95 l8 | q=0.95
Project      : /scratch/yuvraj17/adaptive_tracing_scratch/adaptive_tracer
Data dir     : /scratch/yuvraj17/adaptive_tracing_scratch/micro-service-trace-data/preprocessed_lmat_kernel_cats5_seq512
Model        : /scratch/yuvraj17/adaptive_tracing_scratch/adaptive_tracer/logs/transformer_multitask_cats5_seq512_382062/model_best.pt
Output dir   : /scratch/yuvraj17/adaptive_tracing_scratch/adaptive_tracer/logs/adaptive_trace_replay_transformer_multitask_cats5_382062_w64_r095_l8_q95
============================================================
[1/4] Module list

Currently Loaded Modules:
  1) CCconfig               8) pmix/4.2.4           15) cudacore/.12.6.2 (H,t)
  2) gentoo/2023      (S)   9) ucc/1.2.0            16) gdrcopy/2.3.1
  3) gcccore/.12.3    (H)  10) openmpi/4.1.5   (m)  17) ucx-cuda/1.14.1
  4) gcc/12.3         (t)  11) flexiblas/3.3.1      18) nccl/2.26.2      (t)
  5) hwloc/2.9.1           12) aocl-blas/5.1        19) ucc-cuda/1.2.0
  6) ucx/1.14.1            13) aocl-lapack/5.1      20) cuda/12.6        (t)
  7) libfabric/1.18.0      14) StdEnv/2023     (S)  21) python/3.11.5    (t)

  Where:
   H:  Hidden Module
   S:  Module is Sticky, requires --force to unload or purge
   m:  MPI implementations / Implémentations MPI
   t:  Tools for development / Outils de développement

 

[2/4] GPU sanity
Sun Mar 29 22:05:49 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.172.08             Driver Version: 570.172.08     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:06:00.0 Off |                    0 |
| N/A   40C    P0             72W /  700W |       0MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[3/4] Python + torch sanity
Python: 3.11.4
Torch: 2.10.0
CUDA available: True
GPU: NVIDIA H100 80GB HBM3
[4/4] Adaptive tracing replay
[ATR] device=cuda:0
[ATR] loaded model from /scratch/yuvraj17/adaptive_tracing_scratch/adaptive_tracer/logs/transformer_multitask_cats5_seq512_382062/model_best.pt (175 syscall tokens)
[ATR] threshold=3.421053 (mode=normal_quantile) val_f1=0.8676 valid_id=197476 valid_ood=646822
[ATR] threshold candidates: f1=-5.695194 normal_q(0.9500)=3.421053
[ATR] MAD event(median=0.259766, mad=0.0878906) latency(median=0.832031, mad=0.222656)
[ATR] test_id: starting score extraction
[ATR] test_id: processed 100 batches | 6400 sequences | elapsed=2.3s | 2732.5 seq/s
[ATR] test_id: processed 200 batches | 12688 sequences | elapsed=4.5s | 2799.6 seq/s
[ATR] test_id: processed 300 batches | 19088 sequences | elapsed=6.6s | 2871.9 seq/s
[ATR] test_id: processed 400 batches | 25376 sequences | elapsed=8.8s | 2871.6 seq/s
[ATR] test_id: processed 500 batches | 31664 sequences | elapsed=11.0s | 2874.5 seq/s
[ATR] test_id: processed 600 batches | 38064 sequences | elapsed=13.1s | 2898.0 seq/s
[ATR] test_id: processed 700 batches | 44352 sequences | elapsed=15.3s | 2895.0 seq/s
[ATR] test_id: processed 800 batches | 50640 sequences | elapsed=17.5s | 2895.6 seq/s
[ATR] test_id: processed 900 batches | 57040 sequences | elapsed=19.6s | 2908.6 seq/s
[ATR] test_id: processed 1000 batches | 63328 sequences | elapsed=21.8s | 2905.1 seq/s
[ATR] test_id: processed 1100 batches | 69728 sequences | elapsed=23.9s | 2915.2 seq/s
[ATR] test_id: processed 1200 batches | 76016 sequences | elapsed=26.1s | 2912.1 seq/s
[ATR] test_id: processed 1300 batches | 82304 sequences | elapsed=28.3s | 2910.6 seq/s
[ATR] test_id: processed 1400 batches | 88704 sequences | elapsed=30.4s | 2917.6 seq/s
[ATR] test_id: processed 1500 batches | 94992 sequences | elapsed=32.6s | 2914.6 seq/s
[ATR] test_id: processed 1600 batches | 101280 sequences | elapsed=34.8s | 2912.0 seq/s
[ATR] test_id: processed 1700 batches | 107680 sequences | elapsed=36.9s | 2917.8 seq/s
[ATR] test_id: processed 1800 batches | 113968 sequences | elapsed=39.1s | 2915.2 seq/s
[ATR] test_id: processed 1900 batches | 120256 sequences | elapsed=41.3s | 2914.0 seq/s
[ATR] test_id: processed 2000 batches | 126656 sequences | elapsed=43.4s | 2919.0 seq/s
[ATR] test_id: processed 2100 batches | 132944 sequences | elapsed=45.6s | 2917.0 seq/s
[ATR] test_id: processed 2200 batches | 139344 sequences | elapsed=47.7s | 2921.7 seq/s
[ATR] test_id: processed 2300 batches | 145632 sequences | elapsed=49.9s | 2919.8 seq/s
[ATR] test_id: processed 2400 batches | 151920 sequences | elapsed=52.1s | 2917.8 seq/s
[ATR] test_id: processed 2500 batches | 158320 sequences | elapsed=54.2s | 2921.6 seq/s
[ATR] test_id: processed 2600 batches | 164608 sequences | elapsed=56.4s | 2919.8 seq/s
[ATR] test_id: processed 2700 batches | 170896 sequences | elapsed=58.6s | 2918.3 seq/s
[ATR] test_id: processed 2800 batches | 177296 sequences | elapsed=60.7s | 2921.9 seq/s
[ATR] test_id: processed 2900 batches | 183584 sequences | elapsed=62.7s | 2928.4 seq/s
[ATR] test_id: processed 3000 batches | 189984 sequences | elapsed=64.4s | 2948.6 seq/s
[ATR] test_id: processed 3100 batches | 196268 sequences | elapsed=66.1s | 2970.7 seq/s
[ATR] test_id: scored 197044 sequences in 66.32s (0.3366 ms/seq)
[ATR] test_ood_cpu: starting score extraction
[ATR] test_ood_cpu: processed 100 batches | 6400 sequences | elapsed=2.3s | 2799.9 seq/s
[ATR] test_ood_cpu: processed 200 batches | 12688 sequences | elapsed=4.4s | 2859.5 seq/s
[ATR] test_ood_cpu: processed 300 batches | 19088 sequences | elapsed=6.5s | 2915.9 seq/s
