model,task,categories,seq_len,run_id,folder_name,test_set,score_method,f1,precision,recall,accuracy,aupr,auroc,best_threshold,val_f1_tune,n_test_normal_balanced,n_test_ood_balanced,n_test_normal_full,n_test_ood_full,n_val_normal_balanced,n_val_ood_balanced,n_val_normal_full,n_val_ood_full,mad_event,mad_event_median,mad_latency,mad_latency_median
lstm,event,3,512,382068,lstm_event_cats3_seq512_382068,cpu,event_loss,0.6596006399159678,0.49209896783906126,0.9999738085509843,0.492114881968109,0.5406408667499023,0.5425588659146366,0.0017852783203125,0.6666756693798593,197044,190902,197044,190902,197476,197476,197476,646822,,,,
lstm,event,3,512,382068,lstm_event_cats3_seq512_382068,disk,event_loss,0.5568243928662202,0.38583754667930154,0.9999676853849074,0.3858652794185028,0.686844556859526,0.7202783560852806,0.0017852783203125,0.6666756693798593,197044,123783,197044,123783,197476,197476,197476,646822,,,,
lstm,event,3,512,382068,lstm_event_cats3_seq512_382068,mem,event_loss,0.688217031202033,0.524646247753236,0.999986204422862,0.5246619461767651,0.6000916307740962,0.5649837953343928,0.0017852783203125,0.6666756693798593,197044,217461,197044,217461,197476,197476,197476,646822,,,,
lstm,event,3,512,382068,lstm_event_cats3_seq512_382068,net,event_loss,0.5491775333551467,0.37852841817728755,1.0,0.37856174105030754,0.6158824302453445,0.6937465398566143,0.0017852783203125,0.6666756693798593,197044,120006,197044,120006,197476,197476,197476,646822,,,,
lstm,event,5,512,382070,lstm_event_cats5_seq512_382070,cpu,event_loss,0.6596006399159678,0.49209896783906126,0.9999738085509843,0.492114881968109,0.5406408667499023,0.5425588659146366,0.0017852783203125,0.6666756693798593,197044,190902,197044,190902,197476,197476,197476,646822,,,,
lstm,event,5,512,382070,lstm_event_cats5_seq512_382070,disk,event_loss,0.5568243928662202,0.38583754667930154,0.9999676853849074,0.3858652794185028,0.686844556859526,0.7202783560852806,0.0017852783203125,0.6666756693798593,197044,123783,197044,123783,197476,197476,197476,646822,,,,
lstm,event,5,512,382070,lstm_event_cats5_seq512_382070,mem,event_loss,0.688217031202033,0.524646247753236,0.999986204422862,0.5246619461767651,0.6000916307740962,0.5649837953343928,0.0017852783203125,0.6666756693798593,197044,217461,197044,217461,197476,197476,197476,646822,,,,
lstm,event,5,512,382070,lstm_event_cats5_seq512_382070,net,event_loss,0.5491775333551467,0.37852841817728755,1.0,0.37856174105030754,0.6158824302453445,0.6937465398566143,0.0017852783203125,0.6666756693798593,197044,120006,197044,120006,197476,197476,197476,646822,,,,
lstm,event,7,512,382072,lstm_event_cats7_seq512_382072,cpu,event_loss,0.6596006399159678,0.49209896783906126,0.9999738085509843,0.492114881968109,0.5406408667499023,0.5425588659146366,0.0017852783203125,0.6666756693798593,197044,190902,197044,190902,197476,197476,197476,646822,,,,
lstm,event,7,512,382072,lstm_event_cats7_seq512_382072,disk,event_loss,0.5568243928662202,0.38583754667930154,0.9999676853849074,0.3858652794185028,0.686844556859526,0.7202783560852806,0.0017852783203125,0.6666756693798593,197044,123783,197044,123783,197476,197476,197476,646822,,,,
lstm,event,7,512,382072,lstm_event_cats7_seq512_382072,mem,event_loss,0.688217031202033,0.524646247753236,0.999986204422862,0.5246619461767651,0.6000916307740962,0.5649837953343928,0.0017852783203125,0.6666756693798593,197044,217461,197044,217461,197476,197476,197476,646822,,,,
lstm,event,7,512,382072,lstm_event_cats7_seq512_382072,net,event_loss,0.5491775333551467,0.37852841817728755,1.0,0.37856174105030754,0.6158824302453445,0.6937465398566143,0.0017852783203125,0.6666756693798593,197044,120006,197044,120006,197476,197476,197476,646822,,,,
lstm,event,9,512,382074,lstm_event_cats9_seq512_382074,cpu,event_loss,0.6596006399159678,0.49209896783906126,0.9999738085509843,0.492114881968109,0.5406408667499023,0.5425588659146366,0.0017852783203125,0.6666756693798593,197044,190902,197044,190902,197476,197476,197476,646822,,,,
lstm,event,9,512,382074,lstm_event_cats9_seq512_382074,disk,event_loss,0.5568243928662202,0.38583754667930154,0.9999676853849074,0.3858652794185028,0.686844556859526,0.7202783560852806,0.0017852783203125,0.6666756693798593,197044,123783,197044,123783,197476,197476,197476,646822,,,,
lstm,event,9,512,382074,lstm_event_cats9_seq512_382074,mem,event_loss,0.688217031202033,0.524646247753236,0.999986204422862,0.5246619461767651,0.6000916307740962,0.5649837953343928,0.0017852783203125,0.6666756693798593,197044,217461,197044,217461,197476,197476,197476,646822,,,,
lstm,event,9,512,382074,lstm_event_cats9_seq512_382074,net,event_loss,0.5491775333551467,0.37852841817728755,1.0,0.37856174105030754,0.6158824302453445,0.6937465398566143,0.0017852783203125,0.6666756693798593,197044,120006,197044,120006,197476,197476,197476,646822,,,,
lstm,duration,3,512,382076,lstm_duration_cats3_seq512_382076,cpu,latency_loss,0.659592846481287,0.49208394982806886,1.0,0.49208394982806886,0.6302749883723422,0.6410734864979583,0.000762939453125,0.6666621654012485,197044,190902,197044,190902,197476,197476,197476,646822,,,,
lstm,duration,3,512,382076,lstm_duration_cats3_seq512_382076,disk,latency_loss,0.556812840045973,0.3858228447819067,0.9999919213462268,0.38582164219345627,0.5817414567504181,0.6163777388320335,0.000762939453125,0.6666621654012485,197044,123783,197044,123783,197476,197476,197476,646822,,,,
lstm,duration,3,512,382076,lstm_duration_cats3_seq512_382076,mem,latency_loss,0.688202669451631,0.5246270241059193,0.9999954014742873,0.5246257584347596,0.7161931693562666,0.6979671519037514,0.000762939453125,0.6666621654012485,197044,217461,197044,217461,197476,197476,197476,646822,,,,
lstm,duration,3,512,382076,lstm_duration_cats3_seq512_382076,net,latency_loss,0.5491561722067653,0.3785081217473585,1.0,0.3785081217473585,0.5547418201580558,0.6662110538828295,0.000762939453125,0.6666621654012485,197044,120006,197044,120006,197476,197476,197476,646822,,,,
lstm,duration,5,512,382078,lstm_duration_cats5_seq512_382078,cpu,latency_loss,0.6688798185941043,0.5897208294348615,0.77258488648626,0.6235970985652642,0.6729921267537935,0.6867330685041546,0.6607485684481534,0.6779100122175247,197044,190902,197044,190902,197476,197476,197476,646822,,,,
lstm,duration,5,512,382078,lstm_duration_cats5_seq512_382078,disk,latency_loss,0.545630331997122,0.45287797595243806,0.686160458221242,0.5590832442406656,0.5869352987408414,0.6338156171394094,0.6607485684481534,0.6779100122175247,197044,123783,197044,123783,197476,197476,197476,646822,,,,
lstm,duration,5,512,382078,lstm_duration_cats5_seq512_382078,mem,latency_loss,0.7243949194355106,0.6391710886757885,0.8358418291095875,0.666329718579993,0.7660526030396299,0.7492622190892478,0.6607485684481534,0.6779100122175247,197044,217461,197044,217461,197476,197476,197476,646822,,,,
lstm,duration,5,512,382078,lstm_duration_cats5_seq512_382078,net,latency_loss,0.5978623030944328,0.4805398618957941,0.7909771178107762,0.5972433370130894,0.6191113259829891,0.712870284561058,0.6607485684481534,0.6779100122175247,197044,120006,197044,120006,197476,197476,197476,646822,,,,
lstm,duration,7,512,382080,lstm_duration_cats7_seq512_382080,cpu,latency_loss,0.654820514343546,0.5806434622661767,0.7507255031377356,0.610530847076655,0.655213195267536,0.6667616460930162,0.8544101907749369,0.6778555803497818,197044,190902,197044,190902,197476,197476,197476,646822,,,,
lstm,duration,7,512,382080,lstm_duration_cats7_seq512_382080,disk,latency_loss,0.560546423516224,0.460951170735772,0.7150416454602005,0.5674335389477818,0.6094433386156816,0.6552195058567118,0.8544101907749369,0.6778555803497818,197044,123783,197044,123783,197476,197476,197476,646822,,,,
lstm,duration,7,512,382080,lstm_duration_cats7_seq512_382080,mem,latency_loss,0.7079091337270389,0.6294848527153427,0.808655345096362,0.6499053087417522,0.7474210175911534,0.7241033715852547,0.8544101907749369,0.6778555803497818,197044,217461,197044,217461,197476,197476,197476,646822,,,,
lstm,duration,7,512,382080,lstm_duration_cats7_seq512_382080,net,latency_loss,0.6196998703143334,0.49225426040205245,0.8361915237571454,0.6115313042106924,0.6512105250991125,0.7478638931931522,0.8544101907749369,0.6778555803497818,197044,120006,197044,120006,197476,197476,197476,646822,,,,
lstm,duration,9,512,382083,lstm_duration_cats9_seq512_382083,cpu,latency_loss,0.6542312201759168,0.6063806951326405,0.7102806675676525,0.6305516747176153,0.6585140920175092,0.6741979841088703,1.0361698035037878,0.6845183048305244,197044,190902,197044,190902,197476,197476,197476,646822,,,,
lstm,duration,9,512,382083,lstm_duration_cats9_seq512_382083,disk,latency_loss,0.5747288094533122,0.4924722502522704,0.6899735828021618,0.6060368983907215,0.624975965779111,0.6719476772754649,1.0361698035037878,0.6845183048305244,197044,123783,197044,123783,197476,197476,197476,646822,,,,
lstm,duration,9,512,382083,lstm_duration_cats9_seq512_382083,mem,latency_loss,0.7157625237526696,0.6592082083051012,0.7829311922597615,0.6737747433685963,0.7493656517177051,0.7302925460329692,1.0361698035037878,0.6845183048305244,197044,217461,197044,217461,197476,197476,197476,646822,,,,
lstm,duration,9,512,382083,lstm_duration_cats9_seq512_382083,net,latency_loss,0.6370477142061555,0.5248665309934196,0.8102178224422112,0.6505503863743889,0.6585668184527371,0.7515627179062745,1.0361698035037878,0.6845183048305244,197044,120006,197044,120006,197476,197476,197476,646822,,,,
lstm,multitask,3,512,382059,lstm_multitask_cats3_seq512_382059,cpu,paper_mad_sum,0.6465619199542066,0.5403762540629529,0.804685126399933,0.5670892340686591,0.6176077901892286,0.6348185352674678,-0.7478589894947598,0.6707106699471169,197044,190902,197044,190902,197476,197476,197476,646822,0.0703125,0.1416015625,0.115234375,0.400390625
lstm,multitask,3,512,382059,lstm_multitask_cats3_seq512_382059,disk,paper_mad_sum,0.5740856973134127,0.4394704441422388,0.8275853711737476,0.5262181798913433,0.682300288677854,0.7084688856276663,-0.7478589894947598,0.6707106699471169,197044,123783,197044,123783,197476,197476,197476,646822,0.0703125,0.1416015625,0.115234375,0.400390625
lstm,multitask,3,512,382059,lstm_multitask_cats3_seq512_382059,mem,paper_mad_sum,0.6847401658993836,0.5810783081540001,0.8334184060590175,0.5973872450272011,0.7005872298337714,0.6753454247756858,-0.7478589894947598,0.6707106699471169,197044,217461,197044,217461,197476,197476,197476,646822,0.0703125,0.1416015625,0.115234375,0.400390625
lstm,multitask,3,512,382059,lstm_multitask_cats3_seq512_382059,net,paper_mad_sum,0.5995686958076338,0.4509576515476221,0.8942719530690132,0.5478694212269358,0.6577644369504598,0.745641595924609,-0.7478589894947598,0.6707106699471169,197044,120006,197044,120006,197476,197476,197476,646822,0.0703125,0.1416015625,0.115234375,0.400390625
lstm,multitask,5,512,382061,lstm_multitask_cats5_seq512_382061,cpu,paper_mad_sum,0.6597877140426791,0.590430329055692,0.7476087207048643,0.6206069916947204,0.6413521031143123,0.6681008993370625,0.12118736383442119,0.6869531538827175,197044,190902,197044,190902,197476,197476,197476,646822,0.06640625,0.1357421875,0.140625,0.66796875
lstm,multitask,5,512,382061,lstm_multitask_cats5_seq512_382061,disk,paper_mad_sum,0.5916708283024951,0.4859682552868914,0.7561377572041394,0.5973281550492945,0.6792215167705876,0.714003289174988,0.12118736383442119,0.6869531538827175,197044,123783,197044,123783,197476,197476,197476,646822,0.06640625,0.1357421875,0.140625,0.66796875
lstm,multitask,5,512,382061,lstm_multitask_cats5_seq512_382061,mem,paper_mad_sum,0.7136225615927743,0.6394171058526156,0.8073125755882664,0.6600668266969035,0.7314441950209164,0.7217783232014872,0.12118736383442119,0.6869531538827175,197044,217461,197044,217461,197476,197476,197476,646822,0.06640625,0.1357421875,0.140625,0.66796875
lstm,multitask,5,512,382061,lstm_multitask_cats5_seq512_382061,net,paper_mad_sum,0.6349326061550448,0.507131513573523,0.8488492242054564,0.6305283078378805,0.680560687796772,0.7628431181421312,0.12118736383442119,0.6869531538827175,197044,120006,197044,120006,197476,197476,197476,646822,0.06640625,0.1357421875,0.140625,0.66796875
lstm,multitask,7,512,382064,lstm_multitask_cats7_seq512_382064,cpu,paper_mad_sum,0.6392419922857622,0.5889990640507179,0.6988559575069931,0.611842885350023,0.6301614280566343,0.6508976392945015,0.3090515275877799,0.6752630563343511,197044,190902,197044,190902,197476,197476,197476,646822,0.06640625,0.1357421875,0.16796875,0.8671875
lstm,multitask,7,512,382064,lstm_multitask_cats7_seq512_382064,disk,paper_mad_sum,0.5982322620259505,0.49855105250684073,0.7477359572800788,0.6124983246422526,0.6901808488635829,0.7215275297122323,0.3090515275877799,0.6752630563343511,197044,123783,197044,123783,197476,197476,197476,646822,0.06640625,0.1357421875,0.16796875,0.8671875
lstm,multitask,7,512,382064,lstm_multitask_cats7_seq512_382064,mem,paper_mad_sum,0.6887795815828918,0.6366726639061152,0.7501758936085091,0.6443420465374362,0.7164530278915253,0.6931350724671926,0.3090515275877799,0.6752630563343511,197044,217461,197044,217461,197476,197476,197476,646822,0.06640625,0.1357421875,0.16796875,0.8671875
lstm,multitask,7,512,382064,lstm_multitask_cats7_seq512_382064,net,paper_mad_sum,0.6503155687996985,0.5244747743560144,0.8556072196390181,0.651717394732692,0.6765900448102884,0.7753225296796981,0.3090515275877799,0.6752630563343511,197044,120006,197044,120006,197476,197476,197476,646822,0.06640625,0.1357421875,0.16796875,0.8671875
lstm,multitask,9,512,382066,lstm_multitask_cats9_seq512_382066,cpu,paper_mad_sum,0.6633635031594372,0.5216899430443942,0.9106714439869671,0.5451789682069154,0.633655987748869,0.6583854844263275,-1.7062206645256914,0.6760299764006126,197044,190902,197044,190902,197476,197476,197476,646822,0.0673828125,0.1376953125,0.1875,1.0
lstm,multitask,9,512,382066,lstm_multitask_cats9_seq512_382066,disk,paper_mad_sum,0.5767797415168733,0.418600494612517,0.9271143856587738,0.4750597674135905,0.7014186179013138,0.7349153575979506,-1.7062206645256914,0.6760299764006126,197044,123783,197044,123783,197476,197476,197476,646822,0.0673828125,0.1376953125,0.1875,1.0
lstm,multitask,9,512,382066,lstm_multitask_cats9_seq512_382066,mem,paper_mad_sum,0.6925074550743946,0.5559984623612783,0.9178611337205292,0.572369452720715,0.7158618468850939,0.7000115242540057,-1.7062206645256914,0.6760299764006126,197044,217461,197044,217461,197476,197476,197476,646822,0.0673828125,0.1376953125,0.1875,1.0
lstm,multitask,9,512,382066,lstm_multitask_cats9_seq512_382066,net,paper_mad_sum,0.5839484867605805,0.419568043523384,0.9601019949002549,0.4821605425011828,0.7226765739356171,0.800362102783258,-1.7062206645256914,0.6760299764006126,197044,120006,197044,120006,197476,197476,197476,646822,0.0673828125,0.1376953125,0.1875,1.0
