step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,1.16828,0,0.469737,6e-05,1
200,1.08865,0,0.48118,0.00012,1
300,1.05247,0,0.490647,0.00018,1
400,1.02717,0,0.500491,0.00024,1
500,1.00644,0,0.507756,0.0003,1
600,0.980921,0,0.520789,0.000299999,1
700,0.952695,0,0.537098,0.000299994,1
800,0.920564,0,0.556021,0.000299987,1
900,0.890639,0,0.573191,0.000299976,1
1000,0.866802,0,0.586873,0.000299963,1
1100,0.845554,0,0.59895,0.000299947,1
1200,0.824738,0,0.610637,0.000299928,1
1300,0.807163,0,0.620415,0.000299906,1
1400,0.791009,0,0.629273,0.00029988,1
1500,0.775366,0,0.637785,0.000299852,1
1600,0.760985,0,0.645506,0.000299821,1
1700,0.747562,0,0.652712,0.000299788,1
1800,0.736358,0,0.658785,0.000299751,1
1900,0.725874,0,0.664479,0.000299711,1
2000,0.715916,0,0.669797,0.000299668,1
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
2000,,,,,,0.521848,0,0.521848,0,0.775082
2100,0.706949,0,0.674594,0.000299622,1,,,,,
2200,0.698862,0,0.678862,0.000299574,1,,,,,
2300,0.690908,0,0.68309,0.000299522,1,,,,,
2400,0.518067,0,0.775907,0.000299468,2,,,,,
2500,0.5136,0,0.777136,0.00029941,2,,,,,
2600,0.507992,0,0.779765,0.00029935,2,,,,,
2700,0.502873,0,0.782331,0.000299286,2,,,,,
2800,0.501713,0,0.783022,0.00029922,2,,,,,
2900,0.501802,0,0.78279,0.000299151,2,,,,,
3000,0.501519,0,0.78297,0.000299079,2,,,,,
3100,0.499991,0,0.783694,0.000299003,2,,,,,
3200,0.49831,0,0.784478,0.000298925,2,,,,,
3300,0.497263,0,0.7849,0.000298844,2,,,,,
3400,0.497616,0,0.784669,0.000298761,2,,,,,
3500,0.496857,0,0.78505,0.000298674,2,,,,,
3600,0.496251,0,0.785341,0.000298584,2,,,,,
3700,0.495765,0,0.785524,0.000298491,2,,,,,
3800,0.495146,0,0.78575,0.000298396,2,,,,,
3900,0.493862,0,0.786256,0.000298297,2,,,,,
4000,0.492837,0,0.78672,0.000298196,2,,,,,
4000,,,,,,0.46942,0,0.46942,0,0.798617
4100,0.49177,0,0.787223,0.000298091,2,,,,,
4200,0.491168,0,0.787533,0.000297984,2,,,,,
4300,0.490506,0,0.787827,0.000297874,2,,,,,
4400,0.489835,0,0.788123,0.000297761,2,,,,,
4500,0.489365,0,0.788304,0.000297645,2,,,,,
4600,0.488994,0,0.788424,0.000297526,2,,,,,
4700,0.48475,0,0.792235,0.000297404,3,,,,,
4800,0.472847,0,0.796035,0.00029728,3,,,,,
4900,0.472298,0,0.79585,0.000297152,3,,,,,
5000,0.469163,0,0.797432,0.000297022,3,,,,,
5100,0.468125,0,0.798029,0.000296888,3,,,,,
5200,0.468728,0,0.797732,0.000296752,3,,,,,
5300,0.469059,0,0.79748,0.000296613,3,,,,,
5400,0.468776,0,0.797683,0.000296471,3,,,,,
5500,0.468015,0,0.798121,0.000296326,3,,,,,
5600,0.467537,0,0.798242,0.000296178,3,,,,,
5700,0.468073,0,0.797986,0.000296028,3,,,,,
5800,0.468297,0,0.797952,0.000295874,3,,,,,
5900,0.467834,0,0.798161,0.000295718,3,,,,,
6000,0.467894,0,0.79815,0.000295559,3,,,,,
6000,,,,,,0.454307,0,0.454307,0,0.805317
6100,0.468079,0,0.797986,0.000295396,3,,,,,
6200,0.46757,0,0.798165,0.000295231,3,,,,,
6300,0.467138,0,0.798303,0.000295064,3,,,,,
6400,0.466467,0,0.798601,0.000294893,3,,,,,
6500,0.466268,0,0.798721,0.00029472,3,,,,,
6600,0.465947,0,0.798904,0.000294543,3,,,,,
6700,0.465751,0,0.798954,0.000294364,3,,,,,
6800,0.465562,0,0.799033,0.000294182,3,,,,,
6900,0.46563,0,0.798956,0.000293997,3,,,,,
7000,0.465376,0,0.799073,0.000293809,3,,,,,
7100,0.459752,0,0.802353,0.000293619,4,,,,,
