step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,4.29688,0.215482,0,6e-05,1
200,3.46245,0.262371,0,0.00012,1
300,2.98159,0.300813,0,0.00018,1
400,2.68827,0.329559,0,0.00024,1
500,2.4974,0.351721,0,0.0003,1
600,2.32362,0.382466,0,0.000299999,1
700,2.13949,0.42426,0,0.000299994,1
800,1.95806,0.469456,0,0.000299987,1
900,1.79398,0.511755,0,0.000299976,1
1000,1.6637,0.545785,0,0.000299963,1
1100,1.54918,0.57575,0,0.000299947,1
1200,1.44803,0.60193,0,0.000299928,1
1300,1.36206,0.624337,0,0.000299906,1
1400,1.28412,0.644615,0,0.00029988,1
1500,1.21521,0.662453,0,0.000299852,1
1600,1.15427,0.678177,0,0.000299821,1
1700,1.09958,0.692314,0,0.000299788,1
1800,1.05277,0.704504,0,0.000299751,1
1900,1.00971,0.715744,0,0.000299711,1
2000,0.970276,0.725933,0,0.000299668,1
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
2000,,,,,,0.226408,0.226408,0,0.921374,0
2100,0.93516,0.734997,0,0.000299622,1,,,,,
2200,0.902891,0.743428,0,0.000299574,1,,,,,
2300,0.872801,0.751228,0,0.000299522,1,,,,,
2400,0.212046,0.924349,0,0.000299468,2,,,,,
2500,0.20455,0.926222,0,0.00029941,2,,,,,
2600,0.202894,0.925822,0,0.00029935,2,,,,,
2700,0.201701,0.925886,0,0.000299286,2,,,,,
2800,0.201026,0.925886,0,0.00029922,2,,,,,
2900,0.200606,0.926307,0,0.000299151,2,,,,,
3000,0.199013,0.92696,0,0.000299079,2,,,,,
3100,0.198652,0.926957,0,0.000299003,2,,,,,
3200,0.197323,0.927217,0,0.000298925,2,,,,,
3300,0.196492,0.92744,0,0.000298844,2,,,,,
3400,0.195421,0.92799,0,0.000298761,2,,,,,
3500,0.194848,0.928126,0,0.000298674,2,,,,,
3600,0.194679,0.928221,0,0.000298584,2,,,,,
3700,0.19354,0.928608,0,0.000298491,2,,,,,
3800,0.192355,0.928973,0,0.000298396,2,,,,,
