step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,2.96596,0.223289,0.297106,6e-05,1
200,2.53094,0.266382,0.309056,0.00012,1
300,2.28049,0.298975,0.321026,0.00018,1
400,2.13573,0.319927,0.330096,0.00024,1
500,2.03904,0.339563,0.336228,0.0003,1
600,1.94465,0.368925,0.345469,0.000299999,1
700,1.83766,0.411551,0.358361,0.000299994,1
800,1.72271,0.459495,0.376571,0.000299987,1
900,1.61703,0.503124,0.395884,0.000299976,1
1000,1.53548,0.53691,0.410818,0.000299963,1
1100,1.46233,0.567169,0.424242,0.000299947,1
1200,1.39654,0.593708,0.436844,0.000299928,1
1300,1.34013,0.616567,0.447693,0.000299906,1
1400,1.28954,0.636975,0.457294,0.00029988,1
1500,1.24335,0.655168,0.466676,0.000299852,1
1600,1.2021,0.671216,0.475321,0.000299821,1
1700,1.16461,0.685659,0.483387,0.000299788,1
1800,1.13251,0.698185,0.490268,0.000299751,1
1900,1.10328,0.709608,0.49653,0.000299711,1
2000,1.07601,0.720021,0.502567,0.000299668,1
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
2000,,,,,,0.562018,0.238437,0.8856,0.918777,0.618157
2100,1.05177,0.729232,0.508068,0.000299622,1,,,,,
2200,1.02966,0.737849,0.512908,0.000299574,1,,,,,
2300,1.00864,0.745846,0.517727,0.000299522,1,,,,,
2400,0.547925,0.923189,0.623175,0.000299468,2,,,,,
2500,0.541058,0.9248,0.626331,0.00029941,2,,,,,
2600,0.534353,0.925046,0.630526,0.00029935,2,,,,,
2700,0.530069,0.925243,0.633653,0.000299286,2,,,,,
2800,0.52864,0.925331,0.634708,0.00029922,2,,,,,
2900,0.528712,0.925662,0.634539,0.000299151,2,,,,,
3000,0.527739,0.926197,0.63507,0.000299079,2,,,,,
3100,0.525483,0.926379,0.636747,0.000299003,2,,,,,
3200,0.523299,0.926667,0.638156,0.000298925,2,,,,,
3300,0.521894,0.926836,0.639144,0.000298844,2,,,,,
3400,0.52171,0.927246,0.639124,0.000298761,2,,,,,
3500,0.520744,0.927389,0.63977,0.000298674,2,,,,,
3600,0.520224,0.927403,0.640328,0.000298584,2,,,,,
3700,0.51913,0.927778,0.640862,0.000298491,2,,,,,
3800,0.51783,0.928143,0.641495,0.000298396,2,,,,,
3900,0.516175,0.928339,0.642567,0.000298297,2,,,,,
4000,0.514679,0.928569,0.643436,0.000298196,2,,,,,
4000,,,,,,0.492659,0.192018,0.793301,0.932427,0.663534
4100,0.513114,0.928855,0.644465,0.000298091,2,,,,,
4200,0.512187,0.929118,0.645006,0.000297984,2,,,,,
4300,0.51138,0.929249,0.64555,0.000297874,2,,,,,
4400,0.510457,0.929287,0.646234,0.000297761,2,,,,,
4500,0.510042,0.929323,0.646701,0.000297645,2,,,,,
4600,0.509364,0.929479,0.647043,0.000297526,2,,,,,
4700,0.499766,0.93493,0.650807,0.000297404,3,,,,,
4800,0.486386,0.936343,0.659585,0.00029728,3,,,,,
4900,0.486407,0.935129,0.660264,0.000297152,3,,,,,
5000,0.483861,0.934644,0.662738,0.000297022,3,,,,,
5100,0.484113,0.934077,0.662993,0.000296888,3,,,,,
5200,0.484622,0.934187,0.662523,0.000296752,3,,,,,
5300,0.484242,0.934658,0.662434,0.000296613,3,,,,,
5400,0.483874,0.93473,0.66291,0.000296471,3,,,,,
5500,0.483174,0.934595,0.663475,0.000296326,3,,,,,
5600,0.482366,0.934621,0.663953,0.000296178,3,,,,,
5700,0.482547,0.934837,0.663729,0.000296028,3,,,,,
5800,0.482711,0.934969,0.663573,0.000295874,3,,,,,
5900,0.482408,0.93485,0.663943,0.000295718,3,,,,,
6000,0.482336,0.934993,0.663872,0.000295559,3,,,,,
6000,,,,,,0.474118,0.177893,0.770343,0.936052,0.673903
6100,0.481964,0.935209,0.663924,0.000295396,3,,,,,
6200,0.481301,0.935248,0.664334,0.000295231,3,,,,,
6300,0.480723,0.935269,0.664685,0.000295064,3,,,,,
6400,0.479772,0.935373,0.665286,0.000294893,3,,,,,
6500,0.479362,0.935495,0.665612,0.00029472,3,,,,,
6600,0.479038,0.935576,0.665821,0.000294543,3,,,,,
6700,0.47872,0.935547,0.666078,0.000294364,3,,,,,
6800,0.47858,0.93547,0.666343,0.000294182,3,,,,,
6900,0.478383,0.93557,0.666411,0.000293997,3,,,,,
7000,0.478123,0.935589,0.666572,0.000293809,3,,,,,
7100,0.469717,0.939475,0.670706,0.000293619,4,,,,,
7200,0.467425,0.939355,0.671674,0.000293426,4,,,,,
7300,0.466074,0.93842,0.673377,0.00029323,4,,,,,
7400,0.465754,0.937872,0.674228,0.000293031,4,,,,,
7500,0.466501,0.937428,0.673942,0.000292829,4,,,,,
7600,0.466879,0.937859,0.673459,0.000292624,4,,,,,
7700,0.466994,0.938052,0.673348,0.000292417,4,,,,,
7800,0.466357,0.937868,0.674042,0.000292207,4,,,,,
7900,0.465877,0.937819,0.674405,0.000291994,4,,,,,
8000,0.46606,0.937779,0.674347,0.000291778,4,,,,,
8000,,,,,,0.464687,0.173556,0.755817,0.93745,0.680424
8100,0.466063,0.938082,0.674168,0.00029156,4,,,,,
8200,0.466151,0.937974,0.674182,0.000291338,4,,,,,
8300,0.466296,0.93791,0.67419,0.000291114,4,,,,,
8400,0.466214,0.938085,0.674085,0.000290887,4,,,,,
8500,0.465991,0.938164,0.674103,0.000290658,4,,,,,
8600,0.465538,0.938145,0.674372,0.000290425,4,,,,,
8700,0.465039,0.938176,0.674704,0.00029019,4,,,,,
8800,0.464616,0.938238,0.675022,0.000289953,4,,,,,
8900,0.464427,0.938347,0.675107,0.000289712,4,,,,,
9000,0.464276,0.93833,0.675238,0.000289469,4,,,,,
9100,0.464226,0.938211,0.67538,0.000289223,4,,,,,
9200,0.464199,0.938235,0.675435,0.000288974,4,,,,,
9300,0.46429,0.938229,0.675326,0.000288722,4,,,,,
9400,0.459927,0.941995,0.67703,0.000288468,5,,,,,
9500,0.45772,0.941592,0.677818,0.000288211,5,,,,,
9600,0.456942,0.940604,0.678903,0.000287951,5,,,,,
9700,0.456266,0.939878,0.68001,0.000287689,5,,,,,
9800,0.457297,0.93929,0.679835,0.000287424,5,,,,,
9900,0.458021,0.93935,0.679351,0.000287156,5,,,,,
10000,0.45765,0.939732,0.679363,0.000286886,5,,,,,
10000,,,,,,0.459658,0.167959,0.751357,0.938989,0.681928
10100,0.457471,0.939712,0.67967,0.000286613,5,,,,,
10200,0.457317,0.939523,0.679898,0.000286337,5,,,,,
10300,0.457041,0.939419,0.680091,0.000286058,5,,,,,
10400,0.457166,0.939684,0.679804,0.000285777,5,,,,,
10500,0.45747,0.939691,0.679621,0.000285494,5,,,,,
10600,0.457566,0.939543,0.67972,0.000285207,5,,,,,
