model,task,categories,seq_len,run_id,folder_name,test_set,score_method,f1,precision,recall,accuracy,aupr,auroc,best_threshold,val_f1_tune,n_test_normal_balanced,n_test_ood_balanced,n_test_normal_full,n_test_ood_full,n_val_normal_balanced,n_val_ood_balanced,n_val_normal_full,n_val_ood_full,mad_event,mad_event_median,mad_latency,mad_latency_median
transformer,event,3,512,382069,transformer_event_cats3_seq512_382069,cpu,event_loss,0.6595882151729475,0.49208133132617077,0.9999895234203937,0.4920787944713955,0.5682311180144803,0.5706574598241149,0.08203125,0.6666677919811217,197044,190902,197044,190902,197476,197476,197476,646822,,,,
transformer,event,3,512,382069,transformer_event_cats3_seq512_382069,disk,event_loss,0.5568095940693825,0.38582093041377696,0.9999838426924538,0.3858185252488101,0.6720290632253587,0.7120825743372022,0.08203125,0.6666677919811217,197044,123783,197044,123783,197476,197476,197476,646822,,,,
transformer,event,3,512,382069,transformer_event_cats3_seq512_382069,mem,event_loss,0.6882047451919882,0.5246281709508932,1.0,0.5246281709508932,0.5897854667474093,0.5561711811160741,0.08203125,0.6666677919811217,197044,217461,197044,217461,197476,197476,197476,646822,,,,
transformer,event,3,512,382069,transformer_event_cats3_seq512_382069,net,event_loss,0.5491395741000478,0.37849832042769954,0.9999583354165625,0.37849235136413817,0.6167782781873469,0.6846976091704472,0.08203125,0.6666677919811217,197044,120006,197044,120006,197476,197476,197476,646822,,,,
transformer,event,5,512,382071,transformer_event_cats5_seq512_382071,cpu,event_loss,0.6595882151729475,0.49208133132617077,0.9999895234203937,0.4920787944713955,0.5682311180144803,0.5706574598241149,0.08203125,0.6666677919811217,197044,190902,197044,190902,197476,197476,197476,646822,,,,
transformer,event,5,512,382071,transformer_event_cats5_seq512_382071,disk,event_loss,0.5568095940693825,0.38582093041377696,0.9999838426924538,0.3858185252488101,0.6720290632253587,0.7120825743372022,0.08203125,0.6666677919811217,197044,123783,197044,123783,197476,197476,197476,646822,,,,
transformer,event,5,512,382071,transformer_event_cats5_seq512_382071,mem,event_loss,0.6882047451919882,0.5246281709508932,1.0,0.5246281709508932,0.5897854667474093,0.5561711811160741,0.08203125,0.6666677919811217,197044,217461,197044,217461,197476,197476,197476,646822,,,,
transformer,event,5,512,382071,transformer_event_cats5_seq512_382071,net,event_loss,0.5491395741000478,0.37849832042769954,0.9999583354165625,0.37849235136413817,0.6167782781873469,0.6846976091704472,0.08203125,0.6666677919811217,197044,120006,197044,120006,197476,197476,197476,646822,,,,
transformer,event,7,512,382073,transformer_event_cats7_seq512_382073,cpu,event_loss,0.6595882151729475,0.49208133132617077,0.9999895234203937,0.4920787944713955,0.5682311180144803,0.5706574598241149,0.08203125,0.6666677919811217,197044,190902,197044,190902,197476,197476,197476,646822,,,,
transformer,event,7,512,382073,transformer_event_cats7_seq512_382073,disk,event_loss,0.5568095940693825,0.38582093041377696,0.9999838426924538,0.3858185252488101,0.6720290632253587,0.7120825743372022,0.08203125,0.6666677919811217,197044,123783,197044,123783,197476,197476,197476,646822,,,,
transformer,event,7,512,382073,transformer_event_cats7_seq512_382073,mem,event_loss,0.6882047451919882,0.5246281709508932,1.0,0.5246281709508932,0.5897854667474093,0.5561711811160741,0.08203125,0.6666677919811217,197044,217461,197044,217461,197476,197476,197476,646822,,,,
transformer,event,7,512,382073,transformer_event_cats7_seq512_382073,net,event_loss,0.5491395741000478,0.37849832042769954,0.9999583354165625,0.37849235136413817,0.6167782781873469,0.6846976091704472,0.08203125,0.6666677919811217,197044,120006,197044,120006,197476,197476,197476,646822,,,,
transformer,event,9,512,382075,transformer_event_cats9_seq512_382075,cpu,event_loss,0.6595882151729475,0.49208133132617077,0.9999895234203937,0.4920787944713955,0.5682311180144803,0.5706574598241149,0.08203125,0.6666677919811217,197044,190902,197044,190902,197476,197476,197476,646822,,,,
transformer,event,9,512,382075,transformer_event_cats9_seq512_382075,disk,event_loss,0.5568095940693825,0.38582093041377696,0.9999838426924538,0.3858185252488101,0.6720290632253587,0.7120825743372022,0.08203125,0.6666677919811217,197044,123783,197044,123783,197476,197476,197476,646822,,,,
