step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,1.28007,0,0.418681,6e-05,1
200,1.14866,0,0.453021,0.00012,1
300,1.09871,0,0.467254,0.00018,1
400,1.06417,0,0.482717,0.00024,1
500,1.03765,0,0.493416,0.0003,1
600,1.01288,0,0.506709,0.0003,1
700,0.990059,0,0.518685,0.0003,1
800,0.968272,0,0.530225,0.000299999,1
900,0.949117,0,0.540491,0.000299999,1
1000,0.931439,0,0.550271,0.000299998,1
1100,0.915166,0,0.559209,0.000299997,1
1200,0.900316,0,0.567535,0.000299996,1
1300,0.88816,0,0.574366,0.000299994,1
1400,0.875799,0,0.581238,0.000299993,1
1500,0.865575,0,0.587034,0.000299991,1
1600,0.85583,0,0.592564,0.000299989,1
1700,0.847114,0,0.597674,0.000299987,1
1800,0.837601,0,0.603165,0.000299985,1
1900,0.828697,0,0.608329,0.000299982,1
2000,0.820982,0,0.612745,0.000299979,1
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
2000,,,,,,0.622607,0,0.622607,0,0.727413
2100,0.813925,0,0.616823,0.000299977,1,,,,,
2200,0.805963,0,0.62125,0.000299974,1,,,,,
2300,0.798823,0,0.625226,0.00029997,1,,,,,
2400,0.791613,0,0.629223,0.000299967,1,,,,,
2500,0.784833,0,0.633076,0.000299964,1,,,,,
2600,0.778295,0,0.636844,0.00029996,1,,,,,
2700,0.772253,0,0.640197,0.000299956,1,,,,,
2800,0.765747,0,0.643822,0.000299952,1,,,,,
2900,0.759523,0,0.647274,0.000299947,1,,,,,
3000,0.753547,0,0.650604,0.000299943,1,,,,,
3100,0.74745,0,0.653982,0.000299938,1,,,,,
3200,0.741877,0,0.657081,0.000299933,1,,,,,
3300,0.736584,0,0.659971,0.000299928,1,,,,,
3400,0.731619,0,0.662684,0.000299923,1,,,,,
3500,0.726699,0,0.665365,0.000299918,1,,,,,
3600,0.722001,0,0.667927,0.000299912,1,,,,,
3700,0.717581,0,0.670364,0.000299907,1,,,,,
3800,0.713443,0,0.67265,0.000299901,1,,,,,
3900,0.710221,0,0.674385,0.000299895,1,,,,,
4000,0.70696,0,0.676134,0.000299888,1,,,,,
4000,,,,,,0.52121,0,0.52121,0,0.776374
4100,0.703761,0,0.677844,0.000299882,1,,,,,
4200,0.700373,0,0.679704,0.000299875,1,,,,,
4300,0.697268,0,0.68144,0.000299868,1,,,,,
4400,0.694063,0,0.683211,0.000299861,1,,,,,
4500,0.690825,0,0.684971,0.000299854,1,,,,,
4600,0.687528,0,0.68675,0.000299847,1,,,,,
4700,0.684262,0,0.688517,0.000299839,1,,,,,
4800,0.681435,0,0.690074,0.000299831,1,,,,,
4900,0.678452,0,0.691663,0.000299823,1,,,,,
5000,0.676019,0,0.69298,0.000299815,1,,,,,
5100,0.673377,0,0.694386,0.000299807,1,,,,,
5200,0.670815,0,0.695777,0.000299798,1,,,,,
5300,0.668269,0,0.697124,0.00029979,1,,,,,
5400,0.666008,0,0.698328,0.000299781,1,,,,,
5500,0.663676,0,0.699528,0.000299772,1,,,,,
5600,0.661367,0,0.700741,0.000299763,1,,,,,
5700,0.6592,0,0.701884,0.000299753,1,,,,,
5800,0.656819,0,0.703139,0.000299744,1,,,,,
5900,0.654583,0,0.704316,0.000299734,1,,,,,
6000,0.652202,0,0.705546,0.000299724,1,,,,,
6000,,,,,,0.499782,0,0.499782,0,0.78673
6100,0.650036,0,0.706663,0.000299714,1,,,,,
6200,0.647789,0,0.707811,0.000299704,1,,,,,
6300,0.645773,0,0.708867,0.000299693,1,,,,,
6400,0.643755,0,0.709918,0.000299682,1,,,,,
6500,0.641694,0,0.710986,0.000299672,1,,,,,
6600,0.639724,0,0.712014,0.000299661,1,,,,,
6700,0.637686,0,0.713081,0.000299649,1,,,,,
6800,0.635735,0,0.71409,0.000299638,1,,,,,
6900,0.633845,0,0.715062,0.000299626,1,,,,,
7000,0.632237,0,0.715927,0.000299615,1,,,,,
7100,0.630796,0,0.716696,0.000299603,1,,,,,
7200,0.629213,0,0.717535,0.000299591,1,,,,,
7300,0.627638,0,0.718357,0.000299578,1,,,,,
7400,0.626127,0,0.71916,0.000299566,1,,,,,
7500,0.624617,0,0.719959,0.000299553,1,,,,,
7600,0.623211,0,0.720697,0.00029954,1,,,,,
7700,0.62178,0,0.721419,0.000299527,1,,,,,
7800,0.620335,0,0.722174,0.000299514,1,,,,,
7900,0.618903,0,0.722894,0.000299501,1,,,,,
8000,0.61753,0,0.723617,0.000299487,1,,,,,
8000,,,,,,0.490947,0,0.490947,0,0.790551
8100,0.61623,0,0.724297,0.000299473,1,,,,,
8200,0.614898,0,0.724996,0.000299459,1,,,,,
