step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,4.11098,0.220484,0,6e-05,1
200,3.39139,0.314828,0,0.00012,1
300,2.98837,0.387204,0,0.00018,1
400,2.68289,0.464264,0,0.00024,1
500,2.4453,0.527322,0,0.0003,1
600,2.27502,0.573699,0,0.0003,1
700,2.13018,0.612468,0,0.0003,1
800,2.01429,0.643711,0,0.000299999,1
900,1.92186,0.668569,0,0.000299999,1
1000,1.84654,0.688879,0,0.000299998,1
1100,1.78188,0.706313,0,0.000299997,1
1200,1.7288,0.720665,0,0.000299996,1
1300,1.68347,0.732861,0,0.000299994,1
1400,1.64323,0.743779,0,0.000299993,1
1500,1.6094,0.752887,0,0.000299991,1
1600,1.57856,0.761246,0,0.000299989,1
1700,1.55203,0.768371,0,0.000299987,1
1800,1.52664,0.775326,0,0.000299985,1
1900,1.50522,0.781156,0,0.000299982,1
2000,1.48946,0.78554,0,0.000299979,1
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
2000,,,,,,1.12919,1.12919,0,0.886105,0
2100,1.47418,0.789871,0,0.000299977,1,,,,,
2200,1.45763,0.794472,0,0.000299974,1,,,,,
2300,1.44281,0.798664,0,0.00029997,1,,,,,
2400,1.42855,0.802676,0,0.000299967,1,,,,,
2500,1.41587,0.806248,0,0.000299964,1,,,,,
2600,1.40365,0.809737,0,0.00029996,1,,,,,
2700,1.3921,0.813032,0,0.000299956,1,,,,,
2800,1.3812,0.816108,0,0.000299952,1,,,,,
2900,1.37049,0.819073,0,0.000299947,1,,,,,
3000,1.36052,0.821858,0,0.000299943,1,,,,,
3100,1.35083,0.824609,0,0.000299938,1,,,,,
3200,1.34197,0.827113,0,0.000299933,1,,,,,
3300,1.33316,0.829662,0,0.000299928,1,,,,,
3400,1.32496,0.832029,0,0.000299923,1,,,,,
3500,1.31699,0.834341,0,0.000299918,1,,,,,
3600,1.30942,0.836533,0,0.000299912,1,,,,,
3700,1.30256,0.838515,0,0.000299907,1,,,,,
3800,1.2962,0.840377,0,0.000299901,1,,,,,
3900,1.29111,0.841989,0,0.000299895,1,,,,,
4000,1.28542,0.843781,0,0.000299888,1,,,,,
4000,,,,,,1.04394,1.04394,0,0.916027,0
4100,1.27991,0.845476,0,0.000299882,1,,,,,
4200,1.27456,0.847149,0,0.000299875,1,,,,,
4300,1.26957,0.848655,0,0.000299868,1,,,,,
4400,1.26455,0.850171,0,0.000299861,1,,,,,
4500,1.25979,0.85156,0,0.000299854,1,,,,,
4600,1.25501,0.852947,0,0.000299847,1,,,,,
4700,1.25047,0.854273,0,0.000299839,1,,,,,
4800,1.24648,0.855438,0,0.000299831,1,,,,,
4900,1.24228,0.856714,0,0.000299823,1,,,,,
5000,1.23848,0.857879,0,0.000299815,1,,,,,
5100,1.23458,0.85905,0,0.000299807,1,,,,,
5200,1.23078,0.860227,0,0.000299798,1,,,,,
5300,1.22694,0.861394,0,0.00029979,1,,,,,
5400,1.22339,0.862482,0,0.000299781,1,,,,,
5500,1.2199,0.86354,0,0.000299772,1,,,,,
5600,1.2164,0.864602,0,0.000299763,1,,,,,
5700,1.2131,0.865599,0,0.000299753,1,,,,,
5800,1.20981,0.866586,0,0.000299744,1,,,,,
5900,1.20669,0.867509,0,0.000299734,1,,,,,
6000,1.20365,0.868404,0,0.000299724,1,,,,,
6000,,,,,,1.02484,1.02484,0,0.925542,0
6100,1.20068,0.869284,0,0.000299714,1,,,,,
6200,1.19779,0.870132,0,0.000299704,1,,,,,
6300,1.195,0.870978,0,0.000299693,1,,,,,
6400,1.19226,0.871785,0,0.000299682,1,,,,,
6500,1.18953,0.872611,0,0.000299672,1,,,,,
6600,1.18692,0.873385,0,0.000299661,1,,,,,
