step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,3.30053,0.203119,0.161116,6e-05,1
200,2.86011,0.29801,0.187082,0.00012,1
300,2.62346,0.365203,0.20323,0.00018,1
400,2.44998,0.433134,0.222208,0.00024,1
500,2.31174,0.49152,0.235958,0.0003,1
600,2.2025,0.539402,0.250156,0.0003,1
700,2.10672,0.580669,0.262361,0.0003,1
800,2.02569,0.614758,0.274635,0.000299999,1
900,1.9604,0.641853,0.284808,0.000299999,1
1000,1.90512,0.664054,0.294488,0.000299998,1
1100,1.85716,0.683146,0.303073,0.000299997,1
1200,1.81637,0.698955,0.311357,0.000299996,1
1300,1.7821,0.712389,0.317717,0.000299994,1
1400,1.75038,0.724402,0.324617,0.000299993,1
1500,1.72401,0.734414,0.329926,0.000299991,1
1600,1.69998,0.743552,0.3348,0.000299989,1
1700,1.67921,0.751359,0.338975,0.000299987,1
1800,1.65881,0.75899,0.343301,0.000299985,1
1900,1.64098,0.765415,0.347481,0.000299982,1
2000,1.62733,0.770221,0.350822,0.000299979,1
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
2000,,,,,,1.28428,1.15127,1.41729,0.88469,0.449259
2100,1.61436,0.774925,0.353988,0.000299977,1,,,,,
2200,1.59994,0.779973,0.357457,0.000299974,1,,,,,
2300,1.58712,0.784549,0.360592,0.00029997,1,,,,,
2400,1.57432,0.788915,0.363848,0.000299967,1,,,,,
2500,1.56272,0.792833,0.366939,0.000299964,1,,,,,
2600,1.55186,0.796664,0.369833,0.00029996,1,,,,,
2700,1.54133,0.800211,0.37264,0.000299956,1,,,,,
2800,1.53063,0.803587,0.375938,0.000299952,1,,,,,
2900,1.5201,0.806911,0.378851,0.000299947,1,,,,,
3000,1.51018,0.810006,0.381718,0.000299943,1,,,,,
3100,1.50035,0.813047,0.384693,0.000299938,1,,,,,
3200,1.49132,0.815833,0.387378,0.000299933,1,,,,,
3300,1.48243,0.818599,0.390083,0.000299928,1,,,,,
3400,1.47414,0.821187,0.392505,0.000299923,1,,,,,
3500,1.46597,0.823706,0.395057,0.000299918,1,,,,,
3600,1.45823,0.826077,0.397463,0.000299912,1,,,,,
3700,1.45108,0.828232,0.399699,0.000299907,1,,,,,
3800,1.44445,0.83025,0.401791,0.000299901,1,,,,,
3900,1.43953,0.831888,0.403312,0.000299895,1,,,,,
4000,1.43421,0.833695,0.404919,0.000299888,1,,,,,
4000,,,,,,1.15684,1.06474,1.24895,0.912447,0.50597
4100,1.42902,0.835436,0.406448,0.000299882,1,,,,,
4200,1.42367,0.837165,0.408254,0.000299875,1,,,,,
4300,1.41869,0.838789,0.40978,0.000299868,1,,,,,
4400,1.41361,0.840397,0.411357,0.000299861,1,,,,,
4500,1.40845,0.841901,0.412983,0.000299854,1,,,,,
4600,1.40325,0.843411,0.414674,0.000299847,1,,,,,
4700,1.39825,0.844843,0.416342,0.000299839,1,,,,,
4800,1.39399,0.846083,0.417737,0.000299831,1,,,,,
4900,1.38939,0.847456,0.419288,0.000299823,1,,,,,
5000,1.3855,0.848681,0.420555,0.000299815,1,,,,,
5100,1.38137,0.84993,0.421861,0.000299807,1,,,,,
5200,1.37731,0.851173,0.423273,0.000299798,1,,,,,
5300,1.37328,0.852433,0.42455,0.00029979,1,,,,,
5400,1.36957,0.853588,0.425772,0.000299781,1,,,,,
5500,1.36587,0.85473,0.426934,0.000299772,1,,,,,
5600,1.36216,0.855865,0.428139,0.000299763,1,,,,,
5700,1.35871,0.856942,0.429244,0.000299753,1,,,,,
5800,1.35496,0.858013,0.430549,0.000299744,1,,,,,
5900,1.35139,0.85902,0.431801,0.000299734,1,,,,,
6000,1.34776,0.859998,0.433103,0.000299724,1,,,,,
6000,,,,,,1.12262,1.04204,1.2032,0.921891,0.521482
6100,1.34436,0.860951,0.434274,0.000299714,1,,,,,
6200,1.34092,0.861874,0.435524,0.000299704,1,,,,,
6300,1.33777,0.862784,0.436601,0.000299693,1,,,,,
6400,1.33457,0.863678,0.437722,0.000299682,1,,,,,
6500,1.33142,0.864566,0.438784,0.000299672,1,,,,,
6600,1.32835,0.86541,0.439899,0.000299661,1,,,,,
6700,1.32524,0.86628,0.440995,0.000299649,1,,,,,
6800,1.32222,0.867089,0.442117,0.000299638,1,,,,,
6900,1.31928,0.867913,0.443146,0.000299626,1,,,,,
7000,1.31713,0.868538,0.444075,0.000299615,1,,,,,
7100,1.31503,0.869156,0.444792,0.000299603,1,,,,,
7200,1.31262,0.86987,0.445668,0.000299591,1,,,,,
7300,1.3103,0.870564,0.446486,0.000299578,1,,,,,
7400,1.30797,0.871251,0.447341,0.000299566,1,,,,,
7500,1.30572,0.871912,0.448171,0.000299553,1,,,,,
7600,1.30359,0.87253,0.448903,0.00029954,1,,,,,
7700,1.30136,0.873133,0.449679,0.000299527,1,,,,,
7800,1.29907,0.873779,0.450494,0.000299514,1,,,,,
7900,1.29687,0.874375,0.451267,0.000299501,1,,,,,
8000,1.29477,0.874933,0.452051,0.000299487,1,,,,,
8000,,,,,,1.10686,1.03011,1.1836,0.925186,0.528692
8100,1.29274,0.875474,0.452782,0.000299473,1,,,,,
8200,1.29071,0.876007,0.453507,0.000299459,1,,,,,
8300,1.28883,0.876506,0.454207,0.000299445,1,,,,,
8400,1.28708,0.876969,0.454884,0.000299431,1,,,,,
8500,1.28528,0.877499,0.455563,0.000299416,1,,,,,
8600,1.28353,0.878015,0.456213,0.000299402,1,,,,,
8700,1.28182,0.878535,0.456805,0.000299387,1,,,,,
8800,1.28013,0.879059,0.457357,0.000299372,1,,,,,
8900,1.2785,0.879507,0.457951,0.000299357,1,,,,,
9000,1.27674,0.879994,0.458597,0.000299341,1,,,,,
9100,1.27497,0.880476,0.459248,0.000299326,1,,,,,
9200,1.27319,0.880951,0.459948,0.00029931,1,,,,,
9300,1.27148,0.881396,0.460595,0.000299294,1,,,,,
9400,1.13726,0.920835,0.5166,0.000299278,2,,,,,
9500,1.12693,0.924579,0.513819,0.000299261,2,,,,,
9600,1.12309,0.92485,0.517098,0.000299245,2,,,,,
9700,1.12192,0.925048,0.515938,0.000299228,2,,,,,
9800,1.12101,0.925263,0.51688,0.000299211,2,,,,,
9900,1.12035,0.925402,0.516448,0.000299194,2,,,,,
10000,1.12025,0.925434,0.516242,0.000299177,2,,,,,
10000,,,,,,1.09456,1.01969,1.16943,0.928308,0.534453
10100,1.11804,0.925602,0.516728,0.00029916,2,,,,,
10200,1.11646,0.925655,0.517436,0.000299142,2,,,,,
10300,1.11532,0.925571,0.518123,0.000299125,2,,,,,
10400,1.11436,0.925422,0.518768,0.000299107,2,,,,,
10500,1.1124,0.925557,0.519975,0.000299088,2,,,,,
10600,1.11185,0.925393,0.520405,0.00029907,2,,,,,
10700,1.11138,0.925306,0.520555,0.000299052,2,,,,,
10800,1.1102,0.925323,0.52158,0.000299033,2,,,,,
10900,1.11057,0.925137,0.521552,0.000299014,2,,,,,
11000,1.11049,0.92505,0.521657,0.000298995,2,,,,,
11100,1.11081,0.924924,0.521425,0.000298976,2,,,,,
11200,1.11024,0.925067,0.521706,0.000298957,2,,,,,
11300,1.11052,0.924954,0.521675,0.000298937,2,,,,,
11400,1.11096,0.92501,0.521467,0.000298917,2,,,,,
11500,1.11163,0.92499,0.521166,0.000298897,2,,,,,
11600,1.1113,0.925182,0.521206,0.000298877,2,,,,,
11700,1.11131,0.925333,0.521145,0.000298857,2,,,,,
11800,1.11129,0.925405,0.521179,0.000298836,2,,,,,
11900,1.111,0.925414,0.521523,0.000298816,2,,,,,
12000,1.11138,0.925492,0.521294,0.000298795,2,,,,,
12000,,,,,,1.08429,1.01214,1.15644,0.930204,0.539535
12100,1.11112,0.925535,0.521543,0.000298774,2,,,,,
12200,1.11081,0.925525,0.521786,0.000298753,2,,,,,
12300,1.11025,0.925591,0.522029,0.000298731,2,,,,,
12400,1.11006,0.925533,0.522089,0.00029871,2,,,,,
12500,1.10943,0.92563,0.522461,0.000298688,2,,,,,
12600,1.1091,0.92565,0.522566,0.000298666,2,,,,,
12700,1.10871,0.925714,0.522795,0.000298644,2,,,,,
12800,1.10828,0.925778,0.522965,0.000298622,2,,,,,
12900,1.10782,0.925833,0.52316,0.000298599,2,,,,,
13000,1.10746,0.925895,0.523394,0.000298577,2,,,,,
13100,1.1074,0.925871,0.523413,0.000298554,2,,,,,
13200,1.10747,0.92587,0.523443,0.000298531,2,,,,,
13300,1.1081,0.925856,0.523279,0.000298508,2,,,,,
13400,1.10834,0.925941,0.523175,0.000298484,2,,,,,
13500,1.10846,0.926034,0.523097,0.000298461,2,,,,,
13600,1.10857,0.926058,0.523168,0.000298437,2,,,,,
13700,1.10866,0.926072,0.523124,0.000298413,2,,,,,
13800,1.1088,0.926064,0.52299,0.000298389,2,,,,,
13900,1.1086,0.926065,0.523018,0.000298365,2,,,,,
14000,1.10833,0.926072,0.523121,0.00029834,2,,,,,
14000,,,,,,1.07892,1.00906,1.14877,0.931406,0.541279
14100,1.10816,0.926081,0.52317,0.000298316,2,,,,,
14200,1.10816,0.925995,0.523259,0.000298291,2,,,,,
14300,1.10809,0.925997,0.523376,0.000298266,2,,,,,
14400,1.10823,0.926035,0.523247,0.000298241,2,,,,,
14500,1.10818,0.926047,0.523239,0.000298215,2,,,,,
14600,1.10799,0.926112,0.523382,0.00029819,2,,,,,
14700,1.10795,0.926185,0.523307,0.000298164,2,,,,,
14800,1.10792,0.926233,0.523282,0.000298138,2,,,,,
14900,1.10778,0.926319,0.523308,0.000298112,2,,,,,
15000,1.10762,0.92639,0.523314,0.000298086,2,,,,,
15100,1.10753,0.926432,0.523351,0.000298059,2,,,,,
15200,1.10721,0.926497,0.523501,0.000298033,2,,,,,
15300,1.10696,0.926515,0.523603,0.000298006,2,,,,,
15400,1.10654,0.926557,0.523821,0.000297979,2,,,,,
15500,1.10628,0.926582,0.52391,0.000297952,2,,,,,
15600,1.10593,0.92663,0.524078,0.000297924,2,,,,,
15700,1.10578,0.926646,0.524152,0.000297897,2,,,,,
15800,1.10547,0.9267,0.524276,0.000297869,2,,,,,
15900,1.1051,0.926755,0.524414,0.000297841,2,,,,,
16000,1.10485,0.926802,0.524537,0.000297813,2,,,,,
16000,,,,,,1.08232,1.01869,1.14595,0.93071,0.542502
16100,1.10442,0.926883,0.524746,0.000297785,2,,,,,
16200,1.10412,0.92692,0.524866,0.000297757,2,,,,,
16300,1.10375,0.926986,0.525037,0.000297728,2,,,,,
16400,1.10404,0.926917,0.525129,0.000297699,2,,,,,
16500,1.10407,0.926932,0.525098,0.00029767,2,,,,,
16600,1.104,0.926981,0.525181,0.000297641,2,,,,,
16700,1.10391,0.927018,0.525214,0.000297612,2,,,,,
16800,1.10371,0.927083,0.525326,0.000297582,2,,,,,
16900,1.10365,0.927111,0.525375,0.000297553,2,,,,,
17000,1.10358,0.927103,0.525432,0.000297523,2,,,,,
17100,1.10343,0.927122,0.525478,0.000297493,2,,,,,
17200,1.10322,0.927155,0.525563,0.000297463,2,,,,,
17300,1.10306,0.927161,0.525634,0.000297432,2,,,,,
17400,1.10293,0.927156,0.525712,0.000297402,2,,,,,
17500,1.10283,0.927135,0.525771,0.000297371,2,,,,,
17600,1.10268,0.927133,0.525845,0.00029734,2,,,,,
17700,1.1026,0.927115,0.525941,0.000297309,2,,,,,
17800,1.10258,0.927098,0.525998,0.000297278,2,,,,,
17900,1.10251,0.927143,0.526037,0.000297246,2,,,,,
18000,1.10241,0.927182,0.526077,0.000297215,2,,,,,
18000,,,,,,1.07179,1.00522,1.13836,0.929593,0.545491
18100,1.10238,0.927216,0.526084,0.000297183,2,,,,,
18200,1.10232,0.927253,0.526072,0.000297151,2,,,,,
18300,1.10234,0.927233,0.526058,0.000297119,2,,,,,
18400,1.10216,0.927266,0.526149,0.000297086,2,,,,,
18500,1.10198,0.927297,0.52623,0.000297054,2,,,,,
18600,1.10178,0.927325,0.526346,0.000297021,2,,,,,
18700,1.10159,0.927331,0.526467,0.000296988,2,,,,,
18800,1.09663,0.93155,0.532509,0.000296955,3,,,,,
18900,1.09202,0.931887,0.530808,0.000296922,3,,,,,
19000,1.09081,0.932109,0.532715,0.000296888,3,,,,,
19100,1.09,0.931849,0.532277,0.000296855,3,,,,,
19200,1.08863,0.932295,0.53292,0.000296821,3,,,,,
19300,1.0892,0.932171,0.532138,0.000296787,3,,,,,
19400,1.0885,0.932083,0.532398,0.000296753,3,,,,,
19500,1.08681,0.932048,0.532992,0.000296718,3,,,,,
19600,1.08654,0.931796,0.533109,0.000296684,3,,,,,
19700,1.08577,0.931635,0.53369,0.000296649,3,,,,,
19800,1.08537,0.931445,0.533999,0.000296614,3,,,,,
19900,1.08395,0.931425,0.535068,0.000296579,3,,,,,
20000,1.08365,0.931238,0.535261,0.000296544,3,,,,,
20000,,,,,,1.07318,1.00749,1.13887,0.933285,0.545499
20100,1.08344,0.931085,0.535447,0.000296509,3,,,,,
20200,1.083,0.930971,0.535945,0.000296473,3,,,,,
20300,1.08328,0.93081,0.535904,0.000296437,3,,,,,
20400,1.08352,0.930585,0.535881,0.000296402,3,,,,,
20500,1.08376,0.930523,0.535576,0.000296365,3,,,,,
20600,1.08351,0.930576,0.53571,0.000296329,3,,,,,
20700,1.08413,0.930482,0.535534,0.000296293,3,,,,,
20800,1.0846,0.930529,0.535383,0.000296256,3,,,,,
20900,1.08483,0.930591,0.535187,0.000296219,3,,,,,
21000,1.08481,0.930745,0.535154,0.000296182,3,,,,,
21100,1.08477,0.930831,0.535029,0.000296145,3,,,,,
21200,1.08493,0.930842,0.535074,0.000296108,3,,,,,
21300,1.08476,0.930897,0.535278,0.00029607,3,,,,,
21400,1.08522,0.930912,0.535032,0.000296033,3,,,,,
21500,1.08474,0.930934,0.535467,0.000295995,3,,,,,
21600,1.08475,0.930872,0.535396,0.000295957,3,,,,,
21700,1.0845,0.930855,0.535496,0.000295918,3,,,,,
21800,1.08442,0.930778,0.535543,0.00029588,3,,,,,
21900,1.0841,0.930822,0.535752,0.000295841,3,,,,,
22000,1.08388,0.930803,0.535804,0.000295803,3,,,,,
22000,,,,,,1.07013,1.0057,1.13456,0.933442,0.546937
22100,1.08368,0.930829,0.535912,0.000295764,3,,,,,
22200,1.08337,0.930877,0.536034,0.000295725,3,,,,,
22300,1.08318,0.930891,0.536084,0.000295685,3,,,,,
22400,1.08307,0.930873,0.536201,0.000295646,3,,,,,
22500,1.08305,0.930848,0.536206,0.000295606,3,,,,,
22600,1.08343,0.930832,0.536129,0.000295566,3,,,,,
22700,1.08391,0.930869,0.535968,0.000295526,3,,,,,
22800,1.08414,0.930918,0.535846,0.000295486,3,,,,,
22900,1.08428,0.930989,0.535769,0.000295446,3,,,,,
